designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
UPE 300,0,0,300.0,100.0,9.5,15.0,15.0,240.0,0.00566,7.823e-05,0.0005215,0.0006134,5.377e-06,7.558e-05,0.0001365999999999,3.152e-07,7.265999999999999e-08,5.687111250000002e-06,0.003,0.003029,117.6,30.8,28.9,60.3
UPE 330,0,0,330.0,105.0,11.0,16.0,18.0,262.0,0.00678,0.0001101,0.0006671,0.0007919,6.815e-06,8.965999999999999e-05,0.0001562,4.518e-07,1.118e-07,7.624320000000002e-06,0.0033599999999999,0.003881,127.4,31.7,29.0,60.0
UPE 360,0,0,360.0,110.0,12.0,17.0,18.0,290.0,0.00779,0.0001483,0.0008236,0.0009823,8.437e-06,0.0001051,0.0001778,5.849e-07,1.664e-07,9.8655777e-06,0.00374,0.004561,137.89999999999998,32.9,29.7,61.2
UPE 400,0,0,400.0,115.0,13.5,18.0,18.0,328.0,0.00919,0.0002098,0.001049,0.001263,1.045e-05,0.0001226,0.0001914,7.914e-07,2.59e-07,1.3066272000000002e-05,0.00414,0.00562,151.1,33.7,29.8,60.6
UPN 80,0,0,80.0,45.0,6.0,8.0,8.0,47.0,0.001102,1.06e-06,2.6600000000000003e-05,3.23e-05,1.94e-07,6.38e-06,1.19e-05,2.2000000000000002e-08,1.8e-10,1.5178239999999997e-07,0.0006965309649148,0.00049,31.0,13.3,14.2,26.5
UPN 100,0,0,100.0,50.0,6.0,8.5,8.5,64.0,0.00135,2.06e-06,4.1200000000000005e-05,4.9e-05,2.93e-07,8.49e-06,1.62e-05,2.81e-08,4.1e-10,2.529281250000001e-07,0.0008329900346109,0.000646,39.1,14.7,15.5,29.3
UPN 120,0,0,120.0,55.0,7.0,9.0,9.0,82.0,0.0017,3.64e-06,6.0700000000000005e-05,7.259999999999999e-05,4.32e-07,1.11e-05,2.12e-05,4.15e-08,9e-10,4.106699999999999e-07,0.0009652345024703,0.00088,46.2,15.9,16.0,30.3
UPN 140,0,0,140.0,60.0,7.0,10.0,10.0,98.0,0.0020399999999999,6.05e-06,8.64e-05,0.000103,6.27e-07,1.48e-05,2.83e-05,5.68e-08,1.8e-09,6.321875e-07,0.0011710796326794,0.001041,54.5,17.5,17.5,33.7
UPN 160,0,0,160.0,65.0,7.5,10.5,10.5,115.0,0.0024,9.25e-06,0.000116,0.000138,8.529999999999999e-07,1.83e-05,3.52e-05,7.389999999999999e-08,3.26e-09,9.120552e-07,0.0013326802950291,0.00126,62.1,18.9,18.4,35.6
UPN 180,0,0,180.0,70.0,8.0,11.0,11.0,133.0,0.0028,1.35e-05,0.00015,0.000179,1.14e-06,2.24e-05,4.29e-05,9.55e-08,5.57e-09,1.2774168000000002e-06,0.0015080663555421,0.001509,69.5,20.2,19.2,37.5
UPN 200,0,0,200.0,75.0,8.5,11.5,11.5,151.0,0.00322,1.91e-05,0.000191,0.000228,1.48e-06,2.7e-05,5.18e-05,1.1900000000000001e-07,9.07e-09,1.7330557499999998e-06,0.0016842378142186,0.001771,77.0,21.4,20.1,39.4
